QUEST_LV_0500_20200710_000172	Вы получили растение, о котором просил Мастер Чумного Доктора.{nl}Вернитесь к Мастеру Чумного Доктора и передайте растение, чтобы завершить анализ раствора.	플레이그 닥터 마스터가 말한 식물을 구했습니다.{nl}플레이그 닥터 마스터에게 돌아가 의뢰를 용액 분석을 마무리할 수 있도록 식물을 전해주세요.				
QUEST_LV_0500_20200710_000173	Получите результат расследования от мастера чумного доктора	플레이그 닥터 마스터에게 조사 결과를 받기				
QUEST_LV_0500_20200710_000174	Снова поговорите с Чумным Доктором.	플레이그 닥터와 다시 이야기 하기.				
QUEST_LV_0500_20200710_000175	Мастер Чумного Доктора выразил обеспокоенность тем, что решением было именно Жидкость Крувина.{nl}Кажется, ему есть что попросить, так что поговорите с Мастером Чумного Доктора еще раз.	플레이그 닥터 마스터는 용액의 정체가 크루비나 용액이라는 사실을 알고 우려를 표했습니다.{nl}그가 당부할 것이 있는 것 같으니 다시 플레이그 닥터 마스터와 대화하세요.				
QUEST_LV_0500_20200710_000176	Вернитесь к посланнику крестоносцев.	크루세이더 파견원에게 돌아가기.				
QUEST_LV_0500_20200710_000177	Анализ решения завершен.{nl}Вернитесь к посланнику крестоносцев и верните жидкость Крувина.	용액의 분석 의뢰를 완료했습니다.{nl}크루세이더 파견원에게 돌아가 크루비나 용액을 돌려주세요.				
QUEST_LV_0500_20200710_000178	Посланник крестоносцев сказал, что они займутся дальнейшим расследованием Крувинской жидкости.{nl}Поговорите с посланником еще раз, чтобы спросить, есть ли что-нибудь, чтобы помочь.	크루세이더 파견원은 크루비나 용액에 대한 이후 조사는 자신들이 맡겠다고 했습니다.{nl}파견원과 다시 이야기해서 도울 일이 있는지 물어보세요.				
QUEST_LV_0500_20200710_000179	Командир Стогаса Адес	스토가스 분대장 아데스 찾아가기.				
QUEST_LV_0500_20200710_000180	Посланник крестоносцев говорит, что есть место, где была замечена фигура, предположительно Глация.{nl}Идите к командиру Стогаса Адесу в кемпинг на плато Стогас и послушайте его.	크루세이더 파견원은 글레이시어로 추정되는 인물이 목격된 장소가 있다고 합니다.{nl}스토가스 고원의 야영지 지역에 있는 스토가스 분대장 아데스를 찾아가 관련된 이야기를 들어보세요.				
QUEST_LV_0500_20200710_000181	Идите к солдату Мотимеру.	고원병사 모티머 찾아가기.				
QUEST_LV_0500_20200710_000182	Я слышал историю о женщине, которую подозревают в Глации из Адеса.{nl}За подробностями обращайтесь к солдату Мотимеру.{nl}	아데스로부터 글레이시어로 추정되는 여인의 이야기를 들었습니다.{nl}자세한 이야기를 듣기 위해 고원병사 모티머를 찾아세요.{nl}				
QUEST_LV_0500_20200710_000183	Поговорите с солдатом Мотимером.	고원병사 모티머와 대화하기.				
QUEST_LV_0500_20200710_000184	Послушайте солдата Мотимера, рассказывающего историю о женщине, которую подозревают в Глации.	고원병사 모티머에게 글레이시어로 추정되는 여인에 대한 이야기를 들으세요.				
QUEST_LV_0500_20200710_000185	Выясните место происшествия.	사건 장소 조사하기.				
QUEST_LV_0500_20200710_000186	Исследуйте место, где была найдена женщина, пока солдат Мотимер выполняет свою задачу.	고원병사 모티머가 자신의 일을 마무리하는 동안 여인이 발견되었던 장소를 조사해 보세요.				
QUEST_LV_0500_20200710_000187	Вернитесь к солдату Мотимеру.	고원병사 모티머에게 돌아가기.				
QUEST_LV_0500_20200710_000188	Я нашел жидкость Крубина на месте происшествия, и мне удалось найти наручники у монстров.{nl}Вернитесь к солдату Мотимеру, покажите результаты расследования и спросите об обстоятельствах происшествия.	사건 현장에서 크루비나 용액을 발견했고, 몬스터로 부터 족쇄를 찾을 수 있었습니다.{nl}고원병사 모티머에게 돌아가 조사 결과를 보여주고 사건의 경위에 대해 물어보세요.				
QUEST_LV_0500_20200710_000189	Получить потерянные предметы	유실된 물건 회수				
QUEST_LV_0500_20200710_000190	Передать изношенную кандалу посланнику крестоносцев	크루세이더 파견원에게 닳고 닳은 족쇄 전해주기.				
QUEST_LV_0500_20200710_000191	Завершено расследование на территории кемпинга.{nl}Вернитесь к Посланнику крестоносцев и расскажите о результатах расследования.	야영지에서의 조사를 끝냈습니다.{nl}크루세이더 파견원에게 돌아가 조사 결과를 알려주세요.				
QUEST_LV_0500_20200710_000192	Поговорите с посланником крестоносцев, чтобы продолжить расследование.	조사를 지속하기 위해 크루세이더 파견원과 이야기를 나누세요.				
QUEST_LV_0500_20200710_000193	Проведите расследование в лесу Белой Ведьмы.	하얀 마녀의 숲에서 조사를 진행하기.				
QUEST_LV_0500_20200710_000194	Посланник крестоносцев предположил, что за этим стоит кто-то.{nl}Исследуйте следы Глации в Лесу Белой Ведьмы.	크루세이더 파견원은 이 일의 배후가 있을 것임을 짐작했습니다.{nl}하얀 마녀의 숲에서 글레이시어의 흔적을 조사하세요.				
QUEST_LV_0500_20200710_000195	Доставьте пачку писем Посланнику крестоносцев.	크루세이더 파견원에게 편지 뭉치를 전달하기.				
QUEST_LV_0500_20200710_000196	Принесите предметы посланника крестоносцев из Леса Белой Ведьмы.	크루세이더 파견원에게 하얀 마녀의 숲에서 발견한 것들을 가져다주세요.				
QUEST_LV_0500_20200710_000197	Поговорите с Мастером крестоносцев	크루세이더 마스터와 대화하기.				
QUEST_LV_0500_20200710_000198	Мастеру крестоносцев Зофии Элеоноре, кажется, есть что сказать.{nl}Поговори с ней.	크루세이더 마스터 조피아 엘레노라가 할말이 있는 듯 합니다.{nl}그녀와 대화하세요.				
QUEST_LV_0500_20200710_000199	Найдите посланника крестоносца.	크루세이더 파견원을 찾아가기.				
QUEST_LV_0500_20200710_000200	Найдите посланника крестоносца, который расследует аномально суровую холодную волну на плато Стогас.	스토가스 고원의 이상 한파를 조사하고 있는 크루세이더 파견원에게 찾아가세요.				
QUEST_LV_0500_20200710_000201	Исследуйте аномальную сильную волну холода, исходящую от Нубарского утеса.	누바스크 절벽에서 나타나는 이상 한파에 대해 조사하기.				
QUEST_LV_0500_20200710_000202	Исследуйте аномальную сильную холодную волну, идущую с Нубарского утеса, и расскажите о ней Посланнику крестоносцев.	누바스크 절벽에서 이상 한파 현상에 대해 조사하고 결과를 크루세이더 파견원에게 들려주세요.				
QUEST_LV_0500_20200710_000203	Расскажите Crusader Envoy о результатах расследования аномальной сильной волны холода.	이상 한파에 대한 조사 결과를 크루세이더 파견원에게 알려주세요.				
QUEST_LV_0500_20200826_000204	Вы пришли.{nl}Я просил вас о сотрудничестве.	오셨습니까?{nl}협조를 부탁드리려고 계시자님을 불렀습니다.				크루세이더 마스터
QUEST_LV_0500_20200826_000205	Поскольку вы исследовали Глацию, я думаю, что вы лучше всех знаете правду.{nl}Будете ли вы сотрудничать со следствием?	글레이시어에 대한 조사를 진행하신 적이 있으시니, 아무래도 계시자님만큼 이 사건의 진상에 가까이 다가간 사람은 없을 거로 생각합니다.{nl}조사에 협조해 주실 수 있으십니까?				크루세이더 마스터
QUEST_LV_0500_20200826_000206	Спасибо за сотрудничество.{nl}Вещь, которую я вам дал, - это аксессуар из Ткани Глации.{nl}Нам нужно выяснить, как Глация могла выжить из-за демона и оказаться здесь.	협조에 감사드립니다.{nl}계시자님께 드린 물건은 글레이시어의 옷에서 떨어져 나온 장신구입니다.{nl}글레이시어가 어떻게 이곳까지 마족으로부터 목숨을 지킬 수 있었는지 알아볼 필요가 있습니다.				크루세이더 마스터
QUEST_LV_0500_20200826_000207	Пожалуйста, покажите этот аксессуар демону и посмотрите, как они отреагируют.	그 장신구를 마족에게 보여주고 반응을 살펴봐 주십시오.				크루세이더 마스터
QUEST_LV_0500_20200826_000208	Спасибо за сотрудничество.{nl}Покажите демонам сияющее чудо и посмотрите, как они отреагируют.	협조에 감사드립니다.{nl}반짝이는 구슬을 마족에게 보여주고 반응을 살펴봐 주십시오.				크루세이더 마스터
QUEST_LV_0500_20200826_000209	Вы вернулись.	돌아오셨습니까?				크루세이더 마스터
QUEST_LV_0500_20200826_000210	Демоны испугались?{nl}Это правда, что Глация - сильный демон… Она могла быть человеком, когда проходила здесь.	마족이 겁에 질려 도망갔다고요?{nl}글레이시어가 강력한 마족인 건 사실이지만.. 그녀가 여기를 지날 때는 아직 인간이었을 때입니다.				크루세이더 마스터
QUEST_LV_0500_20200826_000211	Тогда… Может быть, с этим делом может быть связано не только Glacia.	그렇다면.. 글레이시어 이상의 다른 마족이 이 사건과 연관되어 있을 가능성이 크군요.				크루세이더 마스터
QUEST_LV_0500_20200826_000212	Наш последний посланник сказал, что он видел Подозрительный кусок с жидкостью Крувина возле корня на камне.{nl}Мы ничего не трогали, чтобы сохранить сцену.	지난번 저희 파견원이 암벽에 있는 나무뿌리 근처에서 크루비나 용액이 묻은 수상한 조각을 봤다고 하더군요.{nl}현장 보존을 위해 건들지는 않았습니다.				크루세이더 마스터
QUEST_LV_0500_20200826_000213	Я исследую этот предмет, поэтому, пожалуйста, найдите Подозрительный предмет и приготовьтесь к расследованию.	제가 직접 그 조각을 조사할 테니 계시자님 께서는 수상한 조각을 찾아 조사를 준비해 주세요.				크루세이더 마스터
QUEST_LV_0500_20200826_000214	Спуститесь по лестнице налево и продолжайте идти. Подозрительный кусок находится между каменной стеной и корнями деревьев.{nl}Богослов, пожалуйста, идите первым и приготовьтесь к расследованию.	수상한 조각은 왼쪽 계단 아래로 내려가, 그대로 가시다 보면 암벽과 나무뿌리 사이에 있습니다.{nl}계시자님께서 먼저 가서 조사를 준비해주십시오.				크루세이더 마스터
QUEST_LV_0500_20200826_000215	Как мне сказать…{nl}Для начала подведем итоги…	어떻게 말씀을 드려야 할지..{nl}결론부터 말씀드리자면..				크루세이더 마스터
QUEST_LV_0500_20200826_000216	Этот кусок обладает силой демонов на протяжении долгих лет{nl}Это больше сила, с которой я когда-либо сталкивался.{nl}Может быть, Глация…	이 조각에는 오랜 시간에 걸쳐 마족의 힘이 배어있습니다.{nl}제가 마주쳤던 그 어떤 마족보다도 더욱 강한 힘이군요.{nl}어쩌면 글레이시어는..				크루세이더 마스터
QUEST_LV_0500_20200826_000217	Вы поверите, что Глация больше не имеет значения по сравнению с властелином власти?	이 힘의 주인에 비하면 글레이시어는 큰 걱정거리가 아닌 수준이라면 믿으시겠습니까?				크루세이더 마스터
QUEST_LV_0500_20200826_000218	Расследование быстро продвигается благодаря сотрудничеству с Богослов.	계시자님의 협조 덕분에 조사가 빠르게 진척되고 있습니다.				크루세이더 마스터
QUEST_LV_0500_20200826_000219	Неудобно… Нам нужны более убедительные доказательства, чтобы доказать, кто или что стоит за Glacia.	번거롭게도.. 글레이시어의 배후를 증명해내기 위해서는 더 확실한 증거가 필요합니다.				크루세이더 마스터
QUEST_LV_0500_20200826_000220	Вы сказали, что место, где вы в прошлый раз нашли письмо Глейшера, находилось под обрывом?{nl}Я хочу, чтобы вы пошли туда и еще раз проверили, есть ли какие-нибудь доказательства, которые я пропустил в то время.	지난번 글레이시어의 편지를 발견한 곳이 절벽 아래라고 하셨죠?{nl}그곳에 가서 그때 놓친 증거가 없는 지, 다시 확인해주셨으면 합니다.				크루세이더 마스터
QUEST_LV_0500_20200826_000221	Пожалуйста, исследуйте Лес Белой Ведьмы.	하얀 마녀의 숲을 조사해주시길 바랍니다.				크루세이더 마스터
QUEST_LV_0500_20200826_000222	Инструкция - определенно доказательство.{nl}У нее даже есть название Glacia.	지령서라면 확실한 증거입니다.{nl}글레이시어의 이름까지 적혀있군요.				크루세이더 마스터
QUEST_LV_0500_20200826_000223	Но почему это написано на языке людей? Сила, ощущаемая от этого предмета, определенно была силой демона.	그렇지만 어째서 인간의 언어로 적혀있을까요?{nl}조각에서 느꼈던 힘은 마족의 힘이 분명했습니다.				크루세이더 마스터
QUEST_LV_0500_20200826_000224	Он хочет говорить о своем присутствии.	우리에게 자신의 존재를 알리고 싶어 하는군요.				크루세이더 마스터
QUEST_LV_0500_20200826_000225	Теперь доказательство того, что кто-то стоит за спиной, несомненно.{nl}Богослов, пока вы спускались со скалы, я попросил о сотрудничестве с Королевством.	배후가 있다는 증거는 확실해졌습니다.{nl}계시자님께서 절벽 아래로 내려가 있는 동안, 저는 조각을 조사하기 위해 왕국에 협조를 요청했습니다.				크루세이더 마스터
QUEST_LV_0500_20200826_000226	Говорят, что в королевстве есть человек, который лучше всех разбирается в могуществе демонов.{nl}Пожалуйста, отдайте части мастеру Рангды Уолиосу Вахиду.{nl}Нежелательно… но это приказ Королевства.	왕국에서는 마족의 힘이라면 가장 잘 알만한 사람이 있다고 하더군요.{nl}랑다 마스터인 우올리오스 와히드에게 조각을 전해주십시오.{nl}탐탁지는 않지만.. 왕국의 명령입니다.				크루세이더 마스터
QUEST_LV_0500_20200826_000227	Мы рассчитываем на вас.{nl}Если вы пройдете мимо этого фрагмента, больше не останется ничего, что вам нужно было бы помочь.	그럼 부탁드립니다.{nl}그 조각만 전해주신다면 계시자님께서 도와주실 일은 더 없습니다.				크루세이더 마스터
QUEST_LV_0500_20200826_000228	Богослов, спасибо за вашу помощь.	계시자님, 도와주셔서 감사했습니다.				크루세이더 마스터
QUEST_LV_0500_20200826_000229	Гласия Казимила.{nl}Это человеческое имя Гласиа.	글레이시어 카시밀라.{nl}글레이시어가 인간이었을 때의 이름입니다.				크루세이더 마스터
QUEST_LV_0500_20200826_000230	Вы пришли.{nl}Уже слышали об истории.	오셨군요.{nl}이야기는 미리 들었습니다.				랑다 마스터
QUEST_LV_0500_20200826_000231	Сильная энергия.{nl}Если бы не действие Мастера Крестоносца, было бы не странно, если бы вы упали на пути к этому месту.	강한 기운이군요.{nl}크루세이더 마스터님의 조치가 없었더라면, 이곳에 오는 중에 쓰러지셨어도 이상하지 않았을 겁니다.				랑다 마스터
QUEST_LV_0500_20200826_000232	Владельцем этой силы является название земли, данное по имени Бехолдера.{nl}Я расскажу вам больше, чем это позже, если у меня будет возможность.{nl}Мы позаботимся об этом участке.{nl}nl} Ты отдашь его девушке рядом с тобой?	이 힘의 주인은 이 땅의 명칭으로 주시자라는 이름의 존재군요.{nl}이 이상의 이야기는 나중에 기회가 된다면 말씀드리죠.{nl}이 조각은 저희가 관리하겠습니다.{nl}저 옆의 소녀에게 주시겠습니까?				랑다 마스터
QUEST_LV_0500_20200826_000233	Девушка Рангда	랑다 소녀				
QUEST_LV_0500_20200826_000234	Относитесь к ней хорошо, она ребенок.	어린 아이이니 조심히 대해주세요.				랑다 마스터
QUEST_LV_0500_20200826_000235	Будьте осторожны, чтобы не потерять свою жизнь, участвуя в Пространственном Коллапсе и Сингулярности Разделения.{nl}Особенно осторожно ведите себя в Сингулярности Разделения. Это чрезвычайно опасное место.	차원 붕괴와 분열 특이점에 휘말려 아까운 목숨을 잃지 않도록 주의하세요.{nl}특히 분열 특이점에서는 행동을 주의하세요. 무척 위험한 장소입니다.	QUEST_LV_0500_20200320_000076	Be careful not to get swept into the dimensional collapse.{nl} It would be wise to approach when you're fully prepared.  	차원 붕괴에 휘말려 아까운 목숨을 잃지 않도록 주의하세요.{nl}준비가 충분하지 않으면 가까이 가지 않는 게 좋습니다.	세이지 파견원
QUEST_LV_0500_20200826_000236	Если вы недостаточно готовы, не подходите ближе. Будьте готовы перед приближением.	준비가 충분하지 않으면 가까이 가지 않는 게 좋습니다. 철저한 준비를 하시고 접근하시기 바랍니다. 				세이지 파견원
QUEST_LV_0500_20200826_000237	Белая ведьма и крестоносец (8)	하얀 마녀와 크루세이더(8)				
QUEST_LV_0500_20200826_000238	Сотрудничайте со следствием.	조사에 협조한다.				
QUEST_LV_0500_20200826_000239	Не буду сотрудничать со следствием.	협조하고 싶지 않다.				
QUEST_LV_0500_20200826_000240	Белая ведьма и крестоносец (9)	하얀 마녀와 크루세이더(9)				
QUEST_LV_0500_20200826_000241	Я был бы готов.	준비해 두겠다고 한다.				
QUEST_LV_0500_20200826_000242	Скажи ему пойти туда позже	나중에 가자고 한다.				
QUEST_LV_0500_20200826_000243	Белая ведьма и крестоносец (10)	하얀 마녀와 크루세이더(10)				
QUEST_LV_0500_20200826_000244	Сейчас это сделать слишком сложно.	지금은 어렵다고 한다.				
QUEST_LV_0500_20200826_000245	Белая ведьма и крестоносец (11)	하얀 마녀와 크루세이더(11)				
QUEST_LV_0500_20200826_000246	Я передам это.	전해주겠다고 말한다.				
QUEST_LV_0500_20200826_000247	Я не могу тебе помочь.	도울수 없다고 한다.				
QUEST_LV_0500_20200826_000248	Белая ведьма и крестоносец (12)	하얀 마녀와 크루세이더(12)				
QUEST_LV_0500_20200826_000249	Я не хочу больше участвовать.	더 이상 관여하고 싶지 않다고 한다.				
QUEST_LV_0500_20200826_000250	Найдите мастера крестоносцев.	크루세이더 마스터를 찾아가기.				
QUEST_LV_0500_20200826_000251	Повелителю крестоносцев, кажется, есть что сказать вам.{nl}Подойдите к ней и спросите, в чем дело.	크루세이더 마스터가 당신에게 할 말이 있는 듯 합니다.{nl}그녀를 찾아가 무슨 일인지 물어보세요.				
QUEST_LV_0500_20200826_000252	Используйте вещи Гласии для монстра.	글레이시어의 소지품을 몬스터에게 사용하기.				
QUEST_LV_0500_20200826_000253	Как просил Мастер Крестоносцев, покажите монстрам вещи Глации.	크루세이더 마스터의 요청대로, 글레시이어의 소지품을 몬스터들에게 보여주세요.				
QUEST_LV_0500_20200826_000254	Сообщите о результатах расследования Мастеру крестоносцев.	조사 결과를 크루세이더 마스터에게 보고하기.				
QUEST_LV_0500_20200826_000255	Монстры испугались, пока вы показываете вещи Глации!{nl}Расскажите о результатах расследования.	글레시이서의 소지품을 몬스터에게 보여주니, 몬스터들은 허겁지겁 달아났습니다!{nl}조사 결과를 크루세이더 마스터에게 알려주세요.				
QUEST_LV_0500_20200826_000256	Мастер крестоносцев пытается попросить о сотрудничестве для следующего расследования.{nl}Поговорите с мастером крестоносцев.	크루세이더 마스터가 다음 조사를 위해 협조를 요청하려고 합니다.{nl}크루세이더 마스터와 대화하세요.				
QUEST_LV_0500_20200826_000257	Приготовьтесь к подозрительному событию.	수상한 조각 조사 준비하기.				
QUEST_LV_0500_20200826_000258	Повелитель крестоносцев получил сообщение от посланника о Подозрительной Части, которая, как полагают, была пролита Ледником.{nl}Отправляйтесь к Подозрительной Части и будьте готовы заранее, чтобы Мастер Крестоносцев расследовал это.	크루세이더 마스터는 파견원으로부터 글레이시어가 흘린 것으로 추정되는 수상한 조각에 대한 보고를 받았습니다.{nl}수상한 조각이 있는 곳으로 가서 크루세이더 마스터가 조사할 수 있도록 미리 준비를 해두세요.				
QUEST_LV_0500_20200826_000259	Вернитесь к Мастеру крестоносцев.	크루세이더 마스터에게 돌아가기.				
QUEST_LV_0500_20200826_000260	Хозяин крестоносцев забрал Подозрительную Часть.{nl}Вернитесь к ней и узнайте о результатах расследования.	크루세이더 마스터가 수상한 조각을 가져갔습니다.{nl}그녀에게 돌아가 조사 결과에 대해 들어보세요.				
QUEST_LV_0500_20200826_000261	Спросите Мастера крестоносцев, что нужно для следующего расследования.	크루세이더 마스터에게 다음 조사를 위해 필요한 건 무엇인지 물어보세요.				
QUEST_LV_0500_20200826_000262	Проведите расследование в Лесу Белой Ведьмы (Легенда).	하얀 마녀의 숲(레전드)에서 조사를 진행하기.				
QUEST_LV_0500_20200826_000263	Мастер крестоносцев говорит, что необходимы более убедительные доказательства, чтобы идентифицировать существование демонов за Ледником.{nl}Вернитесь в Лес Белой Ведьмы и посмотрите на Worn Out Pouch.	크루세이더 마스터는 글레이시어의 배후에 있는 마족의 존재를 특정하기 위해서는 더 확실한 증거가 필요하다고 합니다.{nl}하얀 마녀의 숲으로 돌아가 해진 주머니를 살펴보세요.				
QUEST_LV_0500_20200826_000264	Покажите мастеру-крестоносцу таинственный орден, который вы нашли из изношенной сумки.	크루세이더 마스터에게 해진 주머니에서 발견한 의문의 지령서를 보여주세요.				
QUEST_LV_0500_20200826_000265	Спросите Мастера крестоносцев, если нужна дополнительная помощь.	크루세이더 마스터에게 더 도와줄 일은 없는 지 물어보세요.				
QUEST_LV_0500_20200826_000266	Иди к Мастеру Рангды.	랑다 마스터를 찾아가기.				
QUEST_LV_0500_20200826_000267	Мастер крестоносцев поблагодарил за сотрудничество с расследованием и, наконец, попросил навестить мастера Рангда, чтобы провести тщательное расследование подозрительной скульптуры.{nl}Отправляйтесь к мастеру Рангда в монастырь Саалуса и спросите о подозрительной скульптуре.	크루세이더 마스터는 조사에 협력해주어서 고맙다는 말을 전하며, 마지막으로 수상한 조각에 대해서 확실한 조사를 하기 위해 랑다 마스터를 찾아가 달라고했습니다.{nl}살러스 수녀원에 있는 랑다 마스터를 찾아가 수상한 조각에 대해 물어보세요.				
QUEST_LV_0500_20200826_000268	Поговорите с Мастером Рангды.	랑다 마스터와 대화하기.				
QUEST_LV_0500_20200826_000269	Послушайте мнение мастера Лангды о подозрительной скульптуре.	랑다 마스터에게 수상한 조각에 대해서 의견을 들으세요.				
QUEST_LV_0500_20200826_000270	Передайте подозрительную скульптуру девушке из Рангды.	수상한 조각을 랑다 소녀에게 전해주기.				
QUEST_LV_0500_20200826_000271	Я слышал объяснение подозрительной скульптуры от мастера Рангда.{nl}Поскольку это опасно, мы должны доверить эту скульптуру Рангде, который более опытен в борьбе с силой демонов.{nl}Пожалуйста, передайте скульптуру девушке Рангда.	랑다 마스터에게 수상한 조각에 대한 설명을 들었습니다.{nl}위험한 물건이니 마족의 힘을 다루는 데 더 능숙한 랑다에게 조각을 맡겨야 합니다.{nl}조각을 랑다 소녀에게 전해주세요.				
QUEST_LV_0500_20210115_000272	Хотя мы удалили все миртины в лесу Иссауготи, миртины, собранные Бехолдером, останутся.{nl}Баубас и Байга все еще ищут Миртинас.	비록 이사우고티 숲의 머티니스는 모두 제거했지만, 주시자가 모은 머티니스가 남아 있을 겁니다.{nl}그리고 바우바스와 바이가 역시 여전히 머티니스를 노리고 있는 상황입니다.			
QUEST_LV_0500_20210115_000273	Миртинас на всей территории Орши полностью не устранен, демоны должны вернуться.	오르샤 일대의 머티니스가 완전히 소멸한 건 아니니,{nl}마족들은 반드시 돌아올 겁니다.			
QUEST_LV_0500_20210115_000274	Итак, носитель Открования,{nl}этот ненадежный мир снова ударит по Орше в ближайшем будущем.	그러니 계시자.{nl}이 위태로운 평화는 머지않은 미래에 다시 오르샤를 덮칠 것입니다.			
QUEST_LV_0500_20210115_000275	Будьте полностью готовы к угрозе.{nl}Приняв судьбу, которую вы несете, как урок.	그 위협에 대비해 만반의 준비를 하세요.{nl}그대가 짊어진 운명을 교훈 삼아.			
QUEST_LV_0500_20210115_000276	Лес впереди называется Issaugoti Forest.	앞에 있던 숲의 이름은 이사우고티 숲이라고 합니다.			
QUEST_LV_0500_20210115_000277	В лесу Иссауотти я чувствую самую мощную энергию Миртинас, чем любую другую часть леса.	이사우고티 숲에서는 숲의 어느 부분보다 강렬한 머티니스의 기운이 느껴집니다.			
QUEST_LV_0500_20210115_000278	Там должна быть Миртинас, добытая демоном Бехолдера.{nl}Множество демонов должно доминировать в этом месте.	분명히 그곳에 주시자의 마족들이 채굴한 머티니스가 있을 겁니다.{nl}분명히 많은 마족들이 그 곳을 장악하고 있겠죠.			
QUEST_LV_0500_20210115_000279	Бехолдер всегда двигался с планами.{nl}Должно быть, он поставил подготовку хранилища Миртинас.	주시자는 항상 계획적으로 움직였습니다.{nl}분명 머티니스의 보관에도 대비책을 마련해놨겠죠.			
QUEST_LV_0500_20210115_000280	Если вы отправитесь в лес Иссаути, не задумываясь, вы сильно рискуете.	생각 없이 이사우고티 숲으로 향했다간 큰 위험을 감수해야 할 겁니다.			
QUEST_LV_0500_20210115_000281	Демон Бехолдера, должно быть, уже собрал много Миртинов.{nl}Трудно удалить все сразу с помощью вашей силы…	주시자의 마족들은 이미 많은 머티니스를 저장해두었을 겁니다.{nl}당신의 힘만으로는 한 번에 제거하기는 버거운 일..			
QUEST_LV_0500_20210115_000282	Меня беспокоит, что перемещение Миртина с моей силой может потерпеть крах из-за силы внутри Миртина.{nl}Кроме того, демоны скоро заметят мою энергию.	제 힘으로 머티니스를 제거하는 건 머티니스에 내재된 제 힘과의 충돌이 우려됩니다.{nl}게다가 마족들이 저의 기운을 금방 알아차릴 겁니다.			
QUEST_LV_0500_20210115_000283	Human's Bomb пригодится, чтобы уничтожить Миртина как можно скорее и как можно больше.	머티니스를 최대한 빨리, 최대한 많이 제거하기 위해서는 충분한 위력을 지닌 인간의 폭탄이 적당하겠군요.			
QUEST_LV_0500_20210115_000284	Вы можете получить бомбы?	혹시 폭탄을 구하실 수 있겠습니까?			
QUEST_LV_0500_20210115_000285	Владыке Орши велели просить о помощи, когда это необходимо?{nl}Это хорошо.{nl}Я просто надеюсь, что для Орши найдется подходящая бомба.	오르샤의 영주가 필요한 일이 있으면 도움을 요청하라고 했다고요?{nl}마침 다행입니다.{nl}오르샤에 적당한 폭탄이 있기만 바라죠.			
QUEST_LV_0500_20210115_000286	[Лорд Орши] Инеса Хамондейл	[오르샤 영주]이네사 해먼데일			
QUEST_LV_0500_20210115_000287	Тебе нужна помощь Орши?{nl}Это я просил о помощи, поэтому дам все, что может быть полезно.	오르샤의 도움이 필요하시다고요?{nl}제가 도움을 청한 입장이니, 힘이 될 수 있다면 무엇이든 드리겠습니다.			
QUEST_LV_0500_20210115_000288	Вам нужна бомба.{nl}Бомбы будут на складе вооружения.{nl}Я прикажу охраннику забрать их.	폭탄이 필요하다는 말씀이시군요.{nl}폭탄이라면, 오르샤 군수 창고에 있을 겁니다.{nl}경비병에게 가져오라 지시하겠습니다.			
QUEST_LV_0500_20210115_000289	Надеюсь, мощности хватит, как вам угодно…	부디 계시자님께서 바라시는 만큼 충분한 위력이길..			
QUEST_LV_0500_20210115_000290	Пожалуйста, обращайтесь осторожно.{nl}Это волшебная бомба с очень сильной силой.	조심히 다루시길 바랍니다.{nl}매우 강한 위력을 가진 마법 폭탄입니다.			
QUEST_LV_0500_20210115_000291	Вы можете попасть под взрыв, поэтому будьте осторожны.{nl}Вы должны активировать его после того, как уйдете в безопасную зону.	자칫하면 폭발에 휘말릴 수도 있으니, 꼭 주의하셔야 합니다.{nl}반드시 안전한 곳에 몸을 피하신 후에 작동하셔야 합니다.			
QUEST_LV_0500_20210115_000292	Будьте осторожны, носитель Открования.{nl}Спасибо за борьбу за Оршу.	모쪼록 몸조심하십시오, 계시자님.{nl}오르샤를 위해 싸워주셔서 감사합니다.			
QUEST_LV_0500_20210115_000293	Поторопитесь.{nl}За Оршу, где надо защищать.	서둘러 움직이세요.{nl}당신이 지켜야 할 오르샤를 위해서라도.			
QUEST_LV_0500_20210115_000294	Вы пришли.{nl}Это подарил Оршанский властитель бомб?	오셨습니까?{nl}그 폭탄이 오르샤 영주가 제공한 물건인가요?			
QUEST_LV_0500_20210115_000295	Понятно.{nl}Мы нашли способ уничтожить Миртинас, поэтому нам нужно только получить к нему доступ.	그렇군요.{nl}이제 머티니스를 파괴할 수단을 찾았으니, 접근을 하는 일만 남았습니다.			
QUEST_LV_0500_20210115_000296	Бехолдер, Рагана, Байга…{nl}Три демона сражаются с разными целями.	주시자, 라가나, 바이가..{nl}세 마족은 각자 다른 목적으로 싸우고 있습니다.			
QUEST_LV_0500_20210115_000297	Поэтому мы воспользуемся их желанием.{nl}Используйте предложение, которое Рагана и Байга сделали для носитель Открования в обратном порядке, и дайте им ложную информацию.	그러니, 우리는 그들의 욕망을 이용하죠.{nl}라가나와 바이가가 계시자님께 한 제안을 역으로 이용해, 그들에게 거짓 정보를 전해야 합니다.			
